,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts
295,TE,Levine Toilolo,1.7999999523162842,4500,5.142857142857143,0,0,0,0,0,1,0,11
296,RB,Jordan Todman,0.0,4500,9.5,0,0,0,0,1,0,0,11
297,WR,Isaiah Ford,0.0,4500,10.714285714285714,0,0,0,0,0,0,1,12
298,TE,David Njoku,6.242857251848493,4500,6.571428571428571,1,0,0,0,0,1,0,29
299,RB,Josh Ferguson,0.5,4500,6.833333333333332,0,0,0,0,1,0,0,37
300,WR,Charone Peake,0.8000000119209291,4500,5.0,1,0,0,0,0,0,1,9
301,TE,Nick Boyle,2.8428570883614674,4500,6.666666666666668,1,0,0,0,0,1,0,20
302,TE,Neal Sterling,0.6499999761581421,4500,5.0,1,0,0,0,0,1,0,11
303,WR,Justin Hunter,1.0499999523162842,4500,13.0,0,0,0,0,0,0,1,25
304,WR,Tre McBride,2.299999952316284,4500,10.833333333333336,0,0,0,0,0,0,1,10
305,TE,Virgil Green,4.079999923706056,4500,7.142857142857142,0,0,0,0,0,1,0,17
306,RB,Raheem Mostert,0.25,4500,8.285714285714286,0,0,0,0,1,0,0,11
307,RB,John Kuhn,0.20000000298023224,4500,10.0,1,0,0,0,1,0,0,39
308,TE,Adam Shaheen,6.699999809265138,4500,10.833333333333336,0,0,0,0,0,1,0,70
309,TE,Ryan Hewitt,2.0999999046325684,4500,5.0,1,0,0,0,0,1,0,34
310,TE,Eric Saubert,0.0,4500,5.142857142857143,0,0,0,0,0,1,0,9
311,RB,De'Angelo Henderson,0.10000000149011612,4500,7.142857142857142,0,0,0,0,1,0,0,11
312,WR,ArDarius Stewart,1.2333333492279053,4500,5.0,1,0,0,0,0,0,1,9
313,WR,Cody Latimer,1.0666666825612383,4500,7.142857142857142,0,0,0,0,0,0,1,19
314,RB,Austin Ekeler,4.971428462437221,4500,5.0,0,0,0,0,1,0,0,31
315,TE,Antony Auclair,0.0,4500,7.428571428571429,1,0,0,0,0,1,0,11
316,RB,Akeem Hunt,0.14999999602635702,4500,6.833333333333332,1,0,0,0,1,0,0,13
317,TE,Khari Lee,0.0,4500,3.571428571428572,1,0,0,0,0,1,0,9
318,RB,C.J. Spiller,0.0,4500,6.833333333333332,1,0,0,0,1,0,0,8
